timestamp,symbol,best_bid_price,best_bid_qty,best_ask_price,best_ask_qty,spread_bps,mid_price,imbalance_5,update_count,open,high,low,close,volume,vwap,trade_count,buy_count,sell_count,buy_volume,sell_volume
2026-05-12 09:55:48,BTCUSDT,80831.97,5.60615,80831.98,0.84556,0.001237134191017849,80831.975,0.8067472582281366,10,,,,,,,0,0,0,,
2026-05-12 09:55:49,BTCUSDT,80832.06,6.87801,80832.07,0.77684,0.0012371328135684769,80832.065,0.842860664549033,10,80831.97,80832.07,80831.97,80832.07,0.14804,80831.97579910835,90,86,4,0.02565,0.12239
2026-05-12 09:55:50,BTCUSDT,80832.06,6.60649,80832.07,0.77667,0.0012371328135684769,80832.065,0.8338470611740346,10,80832.07,80832.07,80832.07,80832.07,0.00066,80832.07,1,1,0,0.00066,0.0
2026-05-12 09:55:51,BTCUSDT,80832.06,6.61171,80832.07,0.7777,0.0012371328135684769,80832.065,0.833752938840095,10,80832.07,80832.07,80832.07,80832.07,7e-05,80832.07,1,1,0,7e-05,0.0
2026-05-12 09:55:52,BTCUSDT,80832.06,5.09122,80832.07,3.57355,0.0012371328135684769,80832.065,0.4414210004476958,10,80832.07,80832.07,80832.07,80832.07,0.00012,80832.07,1,1,0,0.00012,0.0
2026-05-12 09:55:53,BTCUSDT,80832.06,5.09129,80832.07,3.24116,0.0012371328135684769,80832.065,0.47776490078225736,10,80832.07,80832.07,80832.07,80832.07,9e-05,80832.07,1,1,0,9e-05,0.0
2026-05-12 09:55:54,BTCUSDT,80832.06,4.87398,80832.07,3.33653,0.0012371328135684769,80832.065,0.45709814689500805,10,80832.06,80832.06,80832.06,80832.06,0.00958,80832.06,3,0,3,0.0,0.00958
2026-05-12 09:55:55,BTCUSDT,80832.06,4.87017,80832.07,3.13717,0.0012371328135684769,80832.065,0.4809247044346382,10,80832.06,80832.06,80832.06,80832.06,0.00382,80832.06,1,0,1,0.0,0.00382
2026-05-12 09:55:56,BTCUSDT,80832.06,4.86915,80832.07,3.32164,0.0012371328135684769,80832.065,0.4431560171934782,10,80832.07,80832.07,80832.06,80832.07,0.01437,80832.0692414753,4,3,1,0.01328,0.00109
2026-05-12 09:55:57,BTCUSDT,80832.06,0.58953,80832.07,8.01476,0.0012371328135684769,80832.065,-0.8413075589236401,10,80832.06,80832.07,80832.06,80832.07,0.074,80832.06001621622,2,1,1,0.00012,0.07388
2026-05-12 09:55:58,BTCUSDT,80832.06,0.59898,80832.07,8.01476,0.0012371328135684769,80832.065,-0.8393127379246271,10,,,,,,,0,0,0,,
2026-05-12 09:55:59,BTCUSDT,80831.45,0.00028,80831.46,7.34556,0.0012371421496742822,80831.455,-0.9999056507700694,10,80832.06,80832.06,80831.98,80831.98,0.19942,80832.05608314111,117,0,117,0.0,0.19942
2026-05-12 09:56:00,BTCUSDT,80825.53,1.40047,80825.54,10.44717,0.0012372327631360559,80825.535,-0.7579806603860858,10,80831.98,80831.98,80825.54,80825.54,0.16392,80831.07317166911,152,1,151,0.00013,0.16379
2026-05-12 09:56:01,BTCUSDT,80825.53,2.13915,80825.54,10.08608,0.0012372327631360559,80825.535,-0.644978950757406,10,80825.54,80825.54,80825.53,80825.54,0.00459,80825.53973856209,9,8,1,0.00447,0.00012
2026-05-12 09:56:02,BTCUSDT,80825.53,3.4612,80825.54,9.67482,0.0012372327631360559,80825.535,-0.4689007304487172,10,80825.53,80825.53,80825.53,80825.53,0.00907,80825.53,2,0,2,0.0,0.00907
2026-05-12 09:56:03,BTCUSDT,80825.53,3.77666,80825.54,6.10286,0.0012372327631360559,80825.535,-0.23017845950783042,10,80825.54,80825.54,80825.53,80825.54,0.04169,80825.53892300311,3,2,1,0.0372,0.00449
2026-05-12 09:56:04,BTCUSDT,80825.53,3.23901,80825.54,6.10424,0.0012372327631360559,80825.535,-0.30145968789945743,10,80825.53,80825.53,80825.53,80825.53,0.00012,80825.53,1,0,1,0.0,0.00012
2026-05-12 09:56:05,BTCUSDT,80825.53,3.81304,80825.54,6.10412,0.0012372327631360559,80825.535,-0.22656494303102223,10,,,,,,,0,0,0,,
2026-05-12 09:56:06,BTCUSDT,80825.53,3.48781,80825.54,6.1038,0.0012372327631360559,80825.535,-0.26786996428649135,10,80825.53,80825.53,80825.53,80825.53,0.00226,80825.53,1,0,1,0.0,0.00226
2026-05-12 09:56:07,BTCUSDT,80825.53,3.00513,80825.54,6.32492,0.0012372327631360559,80825.535,-0.35028625222569626,10,80825.54,80825.54,80825.53,80825.53,0.23482,80825.53001405332,34,1,33,0.00033,0.23449
2026-05-12 09:56:08,BTCUSDT,80825.53,2.99686,80825.54,6.32174,0.0012372327631360559,80825.535,-0.351245075408228,10,80825.53,80825.54,80825.53,80825.54,0.01145,80825.53283842794,6,3,3,0.00325,0.0082
2026-05-12 09:56:09,BTCUSDT,80823.87,1.15312,80823.88,7.50588,0.0012372581740234553,80823.875,-0.7420409490548232,10,80825.54,80825.54,80824.05,80824.05,0.05243,80825.14199694831,88,3,85,0.00079,0.05164
2026-05-12 09:56:10,BTCUSDT,80823.87,0.22037,80823.88,7.98667,0.0012372581740234553,80823.875,-0.9444928343194856,10,80823.87,80823.87,80823.87,80823.87,0.02472,80823.87,1,0,1,0.0,0.02472
2026-05-12 09:56:11,BTCUSDT,80823.87,0.67867,80823.88,7.98059,0.0012372581740234553,80823.875,-0.8427997498616591,10,80823.87,80823.88,80823.87,80823.88,0.00448,80823.87149553571,5,2,3,0.00067,0.00381
2026-05-12 09:56:12,BTCUSDT,80823.87,0.115,80823.88,7.98609,0.0012372581740234553,80823.875,-0.9675722124344124,10,80823.87,80823.87,80823.87,80823.87,0.10184,80823.87,3,0,3,0.0,0.10184
2026-05-12 09:56:13,BTCUSDT,80820.24,1.39837,80820.25,8.44836,0.0012373137448420256,80820.245,-0.7255652571330358,10,80823.87,80823.87,80820.25,80820.25,0.1565,80822.00321916933,189,0,189,0.0,0.1565
2026-05-12 09:56:14,BTCUSDT,80820.24,1.38823,80820.25,8.44752,0.0012373137448420256,80820.245,-0.7272414440342865,10,80820.24,80820.25,80820.24,80820.25,0.00113,80820.24805309734,3,2,1,0.00091,0.00022
2026-05-12 09:56:15,BTCUSDT,80820.24,1.43179,80820.25,8.4067,0.0012373137448420256,80820.245,-0.7187900703674746,10,80820.24,80820.25,80820.24,80820.25,0.29522,80820.24002743716,14,2,12,0.00081,0.29441
2026-05-12 09:56:16,BTCUSDT,80820.24,1.29799,80820.25,8.37651,0.0012373137448420256,80820.245,-0.7407525858592681,10,80820.24,80820.25,80820.24,80820.25,0.03143,80820.24983773465,2,1,1,0.03092,0.00051
2026-05-12 09:56:17,BTCUSDT,80820.24,2.99106,80820.25,6.80277,0.0012373137448420256,80820.245,-0.4034406665417414,10,80820.25,80820.25,80820.25,80820.25,0.00912,80820.25,10,10,0,0.00912,0.0
2026-05-12 09:56:18,BTCUSDT,80820.24,4.00002,80820.25,6.3825,0.0012373137448420256,80820.245,-0.18867271261453236,10,80820.25,80820.25,80820.24,80820.25,0.00097,80820.2487628866,4,3,1,0.00085,0.00012
2026-05-12 09:56:19,BTCUSDT,80825.53,6.93339,80825.54,4.09643,0.0012372327631360559,80825.535,0.24186344923455294,10,80820.24,80825.54,80820.24,80825.54,0.38471,80821.59168854462,213,208,5,0.37964,0.00507
2026-05-12 09:56:20,BTCUSDT,80825.53,6.78559,80825.54,4.09437,0.0012372327631360559,80825.535,0.23170267874969397,10,80825.53,80825.54,80825.53,80825.54,0.01116,80825.53178315412,8,2,6,0.00199,0.00917
2026-05-12 09:56:21,BTCUSDT,80825.53,6.00192,80825.54,4.04446,0.0012372327631360559,80825.535,0.1788705657527461,10,80825.53,80825.54,80825.53,80825.53,0.12974,80825.53385232002,20,1,19,0.04998,0.07976
2026-05-12 09:56:22,BTCUSDT,80825.53,6.068,80825.54,4.04427,0.0012372327631360559,80825.535,0.18416965027687385,10,80825.54,80825.54,80825.53,80825.53,0.07928,80825.53001513623,11,1,10,0.00012,0.07916
2026-05-12 09:56:23,BTCUSDT,80825.53,5.85254,80825.54,4.04427,0.0012372327631360559,80825.535,0.17250927323626344,10,80825.53,80825.53,80825.53,80825.53,0.2167,80825.53,57,0,57,0.0,0.2167
2026-05-12 09:56:24,BTCUSDT,80825.53,5.8524,80825.54,4.0442,0.0012372327631360559,80825.535,0.17252957713194134,10,80825.54,80825.54,80825.54,80825.54,7e-05,80825.54,1,1,0,7e-05,0.0
2026-05-12 09:56:25,BTCUSDT,80825.53,6.44904,80825.54,3.64856,0.0012372327631360559,80825.535,0.26498431851188087,10,80825.53,80825.54,80825.53,80825.54,0.07368,80825.53998371336,4,3,1,0.07356,0.00012
2026-05-12 09:56:26,BTCUSDT,80825.53,7.79938,80825.54,3.64863,0.0012372327631360559,80825.535,0.34978388998035365,10,80825.54,80825.54,80825.54,80825.54,8e-05,80825.54,1,1,0,8e-05,0.0
2026-05-12 09:56:27,BTCUSDT,80825.53,7.79938,80825.54,3.19086,0.0012372327631360559,80825.535,0.4047107266103783,10,,,,,,,0,0,0,,
2026-05-12 09:56:28,BTCUSDT,80825.53,7.92763,80825.54,3.64501,0.0012372327631360559,80825.535,0.35725200646395805,10,80825.54,80825.54,80825.54,80825.54,0.00362,80825.54,1,1,0,0.00362,0.0
